"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10449","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 10:49:31 UTC 2026","passed","Thu Jan 29 10:49:42 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","2","ScenarioContext demo","","Thu Jan 29 10:58:31 UTC 2026","passed","Thu Jan 29 10:58:31 UTC 2026","","Demo","ScenarioContext demo",""
"","539430","I try to login with invalid credentials","","Thu Jan 29 10:49:26 UTC 2026","passed","Thu Jan 29 10:58:25 UTC 2026","","Demo","I try to login with invalid credentials",""
"","5","ScenarioContext demo","","Thu Jan 29 10:58:31 UTC 2026","passed","Thu Jan 29 10:58:31 UTC 2026","","Demo","ScenarioContext demo",""
"","16699","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 10:59:14 UTC 2026","passed","Thu Jan 29 10:59:30 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","61844","I try to login with invalid credentials","","Thu Jan 29 10:47:56 UTC 2026","passed","Thu Jan 29 10:48:58 UTC 2026","","Demo","I try to login with invalid credentials",""
"","3","ScenarioContext demo","","Thu Jan 29 10:48:58 UTC 2026","passed","Thu Jan 29 10:48:58 UTC 2026","","Demo","ScenarioContext demo",""
"","8","ScenarioContext demo","","Thu Jan 29 10:48:58 UTC 2026","passed","Thu Jan 29 10:48:58 UTC 2026","","Demo","ScenarioContext demo",""
