"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","711131","I try to login with invalid credentials","","Thu Jan 29 19:14:53 UTC 2026","passed","Thu Jan 29 19:26:44 UTC 2026","","Demo","I try to login with invalid credentials",""
"","2","ScenarioContext demo","","Thu Jan 29 19:26:49 UTC 2026","passed","Thu Jan 29 19:26:49 UTC 2026","","Demo","ScenarioContext demo",""
"","10513","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 19:16:18 UTC 2026","passed","Thu Jan 29 19:16:29 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","51855","I try to login with invalid credentials","","Thu Jan 29 19:15:01 UTC 2026","passed","Thu Jan 29 19:15:53 UTC 2026","","Demo","I try to login with invalid credentials",""
"","6","ScenarioContext demo","","Thu Jan 29 19:15:53 UTC 2026","passed","Thu Jan 29 19:15:53 UTC 2026","","Demo","ScenarioContext demo",""
"","16450","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 19:27:34 UTC 2026","passed","Thu Jan 29 19:27:50 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","18","ScenarioContext demo","","Thu Jan 29 19:26:49 UTC 2026","passed","Thu Jan 29 19:26:49 UTC 2026","","Demo","ScenarioContext demo",""
"","7","ScenarioContext demo","","Thu Jan 29 19:15:53 UTC 2026","passed","Thu Jan 29 19:15:53 UTC 2026","","Demo","ScenarioContext demo",""
