"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20150","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 12:24:41 UTC 2026","passed","Thu Jan 29 12:25:01 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","3","ScenarioContext demo","","Thu Jan 29 12:23:54 UTC 2026","passed","Thu Jan 29 12:23:54 UTC 2026","","Demo","ScenarioContext demo",""
"","498393","I try to login with invalid credentials","","Thu Jan 29 12:15:30 UTC 2026","passed","Thu Jan 29 12:23:49 UTC 2026","","Demo","I try to login with invalid credentials",""
"","24","ScenarioContext demo","","Thu Jan 29 12:23:54 UTC 2026","passed","Thu Jan 29 12:23:54 UTC 2026","","Demo","ScenarioContext demo",""
