"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 21:28:04 GMT 2024","Mon Apr 22 21:28:04 GMT 2024","12","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"broken","Mon Apr 22 21:32:38 GMT 2024","Mon Apr 22 21:40:23 GMT 2024","464971","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
"passed","Mon Apr 22 21:40:23 GMT 2024","Mon Apr 22 21:40:23 GMT 2024","28","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon Apr 22 21:40:23 GMT 2024","Mon Apr 22 21:40:23 GMT 2024","16","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon Apr 22 21:28:04 GMT 2024","Mon Apr 22 21:28:04 GMT 2024","15","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon Apr 22 21:25:10 GMT 2024","Mon Apr 22 21:27:59 GMT 2024","169398","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
