"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 17:19:05 GMT 2024","Tue May 14 17:19:05 GMT 2024","5","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue May 14 17:13:37 GMT 2024","Tue May 14 17:13:37 GMT 2024","4","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue May 14 17:07:18 GMT 2024","Tue May 14 17:13:32 GMT 2024","374397","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
"passed","Tue May 14 17:14:05 GMT 2024","Tue May 14 17:14:20 GMT 2024","14877","Surefire suite","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials","Login with invalid credentials is impossible",""
"passed","Tue May 14 17:19:34 GMT 2024","Tue May 14 17:19:45 GMT 2024","11032","Surefire suite","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials","Login with invalid credentials is impossible",""
"passed","Tue May 14 17:12:43 GMT 2024","Tue May 14 17:19:00 GMT 2024","377547","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
"passed","Tue May 14 17:19:05 GMT 2024","Tue May 14 17:19:05 GMT 2024","3","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue May 14 17:13:37 GMT 2024","Tue May 14 17:13:37 GMT 2024","10","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
