"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","ScenarioContext demo","","Thu Jan 29 10:10:05 UTC 2026","passed","Thu Jan 29 10:10:05 UTC 2026","","Demo","ScenarioContext demo",""
"","354948","I try to login with invalid credentials","","Thu Jan 29 10:04:05 UTC 2026","passed","Thu Jan 29 10:10:00 UTC 2026","","Demo","I try to login with invalid credentials",""
"","13162","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 10:10:52 UTC 2026","passed","Thu Jan 29 10:11:05 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","10090","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 10:05:39 UTC 2026","passed","Thu Jan 29 10:05:49 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","14","ScenarioContext demo","","Thu Jan 29 10:10:05 UTC 2026","passed","Thu Jan 29 10:10:05 UTC 2026","","Demo","ScenarioContext demo",""
"","58745","I try to login with invalid credentials","","Thu Jan 29 10:04:11 UTC 2026","passed","Thu Jan 29 10:05:10 UTC 2026","","Demo","I try to login with invalid credentials",""
"","3","ScenarioContext demo","","Thu Jan 29 10:05:10 UTC 2026","passed","Thu Jan 29 10:05:10 UTC 2026","","Demo","ScenarioContext demo",""
"","8","ScenarioContext demo","","Thu Jan 29 10:05:10 UTC 2026","passed","Thu Jan 29 10:05:10 UTC 2026","","Demo","ScenarioContext demo",""
