"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 15:28:13 GMT 2024","Tue May 14 15:34:04 GMT 2024","351077","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
"passed","Tue May 14 15:34:32 GMT 2024","Tue May 14 15:34:44 GMT 2024","11749","Surefire suite","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials","Login with invalid credentials is impossible",""
"passed","Tue May 14 15:42:34 GMT 2024","Tue May 14 15:42:47 GMT 2024","13164","Surefire suite","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials","Login with invalid credentials is impossible",""
"passed","Tue May 14 15:34:09 GMT 2024","Tue May 14 15:34:09 GMT 2024","6","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue May 14 15:41:51 GMT 2024","Tue May 14 15:41:51 GMT 2024","9","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue May 14 15:34:09 GMT 2024","Tue May 14 15:34:09 GMT 2024","2","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue May 14 15:41:51 GMT 2024","Tue May 14 15:41:51 GMT 2024","2","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue May 14 15:33:57 GMT 2024","Tue May 14 15:41:46 GMT 2024","469429","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
