"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","ScenarioContext demo","","Thu Jan 29 11:50:42 UTC 2026","passed","Thu Jan 29 11:50:42 UTC 2026","","Demo","ScenarioContext demo",""
"","3","ScenarioContext demo","","Thu Jan 29 11:50:42 UTC 2026","passed","Thu Jan 29 11:50:42 UTC 2026","","Demo","ScenarioContext demo",""
"","9772","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 11:51:18 UTC 2026","passed","Thu Jan 29 11:51:28 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","57033","I try to login with invalid credentials","","Thu Jan 29 11:49:44 UTC 2026","passed","Thu Jan 29 11:50:42 UTC 2026","","Demo","I try to login with invalid credentials",""
