"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Demo","2","0","ScenarioContext demo","0"
"0","","0","","1","0","","0"
"0","","0","Demo","1","0","I try to login with invalid credentials","0"
