"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 16:54:43 GMT 2024","Mon May 13 17:01:12 GMT 2024","389541","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
"passed","Mon May 13 17:01:17 GMT 2024","Mon May 13 17:01:17 GMT 2024","6","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon May 13 16:57:55 GMT 2024","Mon May 13 16:57:55 GMT 2024","4","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon May 13 16:57:55 GMT 2024","Mon May 13 16:57:55 GMT 2024","11","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon May 13 17:01:17 GMT 2024","Mon May 13 17:01:17 GMT 2024","2","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon May 13 16:58:24 GMT 2024","Mon May 13 16:58:41 GMT 2024","16540","Surefire suite","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials","Login with invalid credentials is impossible",""
"passed","Mon May 13 17:01:47 GMT 2024","Mon May 13 17:02:00 GMT 2024","13057","Surefire suite","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials","Login with invalid credentials is impossible",""
"passed","Mon May 13 16:51:28 GMT 2024","Mon May 13 16:57:49 GMT 2024","381886","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
