"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","ScenarioContext demo","","Thu Jan 29 11:51:10 UTC 2026","passed","Thu Jan 29 11:51:10 UTC 2026","","Demo","ScenarioContext demo",""
"","6","ScenarioContext demo","","Thu Jan 29 11:43:33 UTC 2026","passed","Thu Jan 29 11:43:33 UTC 2026","","Demo","ScenarioContext demo",""
"","8394","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 11:44:11 UTC 2026","passed","Thu Jan 29 11:44:20 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","14553","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 11:51:47 UTC 2026","passed","Thu Jan 29 11:52:01 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","10","ScenarioContext demo","","Thu Jan 29 11:51:10 UTC 2026","passed","Thu Jan 29 11:51:10 UTC 2026","","Demo","ScenarioContext demo",""
"","196610","I try to login with invalid credentials","","Thu Jan 29 11:47:48 UTC 2026","passed","Thu Jan 29 11:51:04 UTC 2026","","Demo","I try to login with invalid credentials",""
"","62610","I try to login with invalid credentials","","Thu Jan 29 11:42:30 UTC 2026","passed","Thu Jan 29 11:43:33 UTC 2026","","Demo","I try to login with invalid credentials",""
"","11","ScenarioContext demo","","Thu Jan 29 11:43:33 UTC 2026","passed","Thu Jan 29 11:43:33 UTC 2026","","Demo","ScenarioContext demo",""
