"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 25 11:31:27 GMT 2024","Thu Apr 25 11:31:27 GMT 2024","3","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Thu Apr 25 11:28:26 GMT 2024","Thu Apr 25 11:31:22 GMT 2024","175541","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
"passed","Thu Apr 25 11:31:27 GMT 2024","Thu Apr 25 11:31:27 GMT 2024","8","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Thu Apr 25 11:31:49 GMT 2024","Thu Apr 25 11:32:01 GMT 2024","11241","Surefire suite","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials","Login with invalid credentials is impossible",""
"passed","Thu Apr 25 11:36:28 GMT 2024","Thu Apr 25 11:36:28 GMT 2024","6","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Thu Apr 25 11:36:28 GMT 2024","Thu Apr 25 11:36:28 GMT 2024","2","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Thu Apr 25 11:31:24 GMT 2024","Thu Apr 25 11:36:23 GMT 2024","298182","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
"passed","Thu Apr 25 11:36:55 GMT 2024","Thu Apr 25 11:37:05 GMT 2024","9798","Surefire suite","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials","Login with invalid credentials is impossible",""
