"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58242","I try to login with invalid credentials","","Thu Jan 29 11:56:40 UTC 2026","passed","Thu Jan 29 11:57:38 UTC 2026","","Demo","I try to login with invalid credentials",""
"","8","ScenarioContext demo","","Thu Jan 29 11:57:38 UTC 2026","passed","Thu Jan 29 11:57:38 UTC 2026","","Demo","ScenarioContext demo",""
"","12831","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 11:59:07 UTC 2026","passed","Thu Jan 29 11:59:20 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","8","ScenarioContext demo","","Thu Jan 29 11:58:28 UTC 2026","passed","Thu Jan 29 11:58:28 UTC 2026","","Demo","ScenarioContext demo",""
"","1","ScenarioContext demo","","Thu Jan 29 11:58:28 UTC 2026","passed","Thu Jan 29 11:58:28 UTC 2026","","Demo","ScenarioContext demo",""
"","221421","I try to login with invalid credentials","","Thu Jan 29 11:54:42 UTC 2026","passed","Thu Jan 29 11:58:23 UTC 2026","","Demo","I try to login with invalid credentials",""
"","6","ScenarioContext demo","","Thu Jan 29 11:57:38 UTC 2026","passed","Thu Jan 29 11:57:38 UTC 2026","","Demo","ScenarioContext demo",""
"","8643","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 11:58:03 UTC 2026","passed","Thu Jan 29 11:58:11 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
