"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","ScenarioContext demo","","Thu Jan 29 11:33:53 UTC 2026","passed","Thu Jan 29 11:33:53 UTC 2026","","Demo","ScenarioContext demo",""
"","4","ScenarioContext demo","","Thu Jan 29 11:20:20 UTC 2026","passed","Thu Jan 29 11:20:20 UTC 2026","","Demo","ScenarioContext demo",""
"","10","ScenarioContext demo","","Thu Jan 29 11:33:53 UTC 2026","passed","Thu Jan 29 11:33:53 UTC 2026","","Demo","ScenarioContext demo",""
"","11","ScenarioContext demo","","Thu Jan 29 11:20:20 UTC 2026","passed","Thu Jan 29 11:20:20 UTC 2026","","Demo","ScenarioContext demo",""
"","892450","I try to login with invalid credentials","","Thu Jan 29 11:18:56 UTC 2026","passed","Thu Jan 29 11:33:48 UTC 2026","","Demo","I try to login with invalid credentials",""
"","64009","I try to login with invalid credentials","","Thu Jan 29 11:19:16 UTC 2026","passed","Thu Jan 29 11:20:20 UTC 2026","","Demo","I try to login with invalid credentials",""
"","8536","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 11:20:57 UTC 2026","passed","Thu Jan 29 11:21:05 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
"","13280","Login with invalid credentials is impossible","Surefire suite","Thu Jan 29 11:34:35 UTC 2026","passed","Thu Jan 29 11:34:48 UTC 2026","aquality.appium.mobile.template.testng.tests.LoginTest","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials"
