"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 21:25:07 GMT 2024","Mon Apr 22 21:25:07 GMT 2024","62","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon Apr 22 21:39:48 GMT 2024","Mon Apr 22 21:39:48 GMT 2024","28","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"broken","Mon Apr 22 21:17:02 GMT 2024","Mon Apr 22 21:25:07 GMT 2024","485298","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
"passed","Mon Apr 22 21:12:17 GMT 2024","Mon Apr 22 21:39:47 GMT 2024","1650466","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
"passed","Mon Apr 22 21:25:07 GMT 2024","Mon Apr 22 21:25:07 GMT 2024","21","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon Apr 22 21:39:48 GMT 2024","Mon Apr 22 21:39:48 GMT 2024","19","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
