"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 17:08:47 GMT 2024","Tue Apr 23 17:08:47 GMT 2024","6","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue Apr 23 17:08:47 GMT 2024","Tue Apr 23 17:08:47 GMT 2024","3","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue Apr 23 17:15:56 GMT 2024","Tue Apr 23 17:15:56 GMT 2024","3","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue Apr 23 17:06:12 GMT 2024","Tue Apr 23 17:08:42 GMT 2024","150269","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
"passed","Tue Apr 23 17:16:17 GMT 2024","Tue Apr 23 17:16:36 GMT 2024","18954","Surefire suite","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials","Login with invalid credentials is impossible",""
"broken","Tue Apr 23 17:09:04 GMT 2024","Tue Apr 23 17:09:51 GMT 2024","46715","Surefire suite","Surefire test","aquality.appium.mobile.template.testng.tests.LoginTest","aquality.appium.mobile.template.testng.tests.LoginTest","testLoginWithInvalidCredentials","Login with invalid credentials is impossible",""
"passed","Tue Apr 23 17:09:42 GMT 2024","Tue Apr 23 17:15:56 GMT 2024","373396","","Demo","","I try to login with invalid credentials","","I try to login with invalid credentials",""
"passed","Tue Apr 23 17:15:56 GMT 2024","Tue Apr 23 17:15:56 GMT 2024","10","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
